X,Y,FID,NOMBRE,DIRECCION,TELEFONO,HORARIO,WEB,Foto,Texto,Texto2,GlobalID,CreationDate,Creator,EditDate,Editor
-5.987133,37.370965,1,Museo Arqueológico,"Plaza de Amorica, s/n",954786465,"Mar -Sdb 9.00-20:30h / Dom y festivos 9-14:30h. Festivos, consultar",http://www.museosdeandalucia.es/culturaydeporte/museos/MASE/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Arqueologico.jpg,"El Museo Arqueológico Provincial de Sevilla fue constituido como consecuencia del Decreto de 1867 sobre Museos Arqueológicos, entonces llamados Museos de Antigüedades. En la gestación del museo fueron decisivas las intervenciones de la Junta de Museos de","Sevilla, creada en 1835 para hacerse cargo de los objetos de arte de los conventos suprimidos, y de la Comisión Provincial de Monumentos, creada en su lugar en 1844.",{F02403F2-BEDC-4B64-8BE1-C77481E528DC},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:57:25,Urbanismo
-5.987839,37.372076,2,Museo de Artes y Costumbres Populares,"Plaza de Amtrica, 3 - Pabellón Mudejar, Parque de Maria Luisa",954712391,"Mar -Sdb 9.00-20:30h / Dom y festivos 9-14:30h. Festivos, consultar",http://www.museosdeandalucia.es/culturaydeporte/museos/MACSE/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de las Artes y Costumbres Populares.jpg,"Costumbres Populares de Sevilla, está localizado en el Parque de María Luisa, dentro de la Plaza de América. Ocupa el Pabellón Mudéjar, edificio construido en 1914, por el arquitecto Aníbal González, con motivo de la Exposición Iberoamericana de Sevilla.",,{9065A6B3-3CDC-4051-8C1C-77954938A5CB},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:56:03,Urbanismo
-5.988946,37.385693,3,Museo Casa de Murillo,"C/ Santa Teresa, 8",955037263,Lun-Vie 10-14h,http://es.wikipedia.org/wiki/Museo_Casa_de_Murillo,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo casa murillo.jpg,"La Casa Museo fue creada en el año 1972 aunque se inauguró en 1982, haciendo coincidir esta fecha con el bicentenario de su fallecimiento.  En el año 1988 se iniciaron unas reformas que terminaron por transformar el edificio en oficinas.  En el año 2010","se acometió una nueva reforma en la Casa con la intención de dejarla como se pensó en un principio, con el ambiente de 1682, para convertirla de nuevo en museo-monumento en memoria de su honorable habitante Bartolomé Esteban Murillo.",{426C345F-C90E-4786-996A-8F34E4CEE619},2015/01/27 18:55:41,Urbanismo,2015/06/19 11:24:55,Urbanismo
-5.99116,37.389135,4,Museo de Baile Flamenco,"C/ Manuel Rojas Marcos, 3",954340311,Lun-Dom y festivos de 9:30-19h,http://www.museoflamenco.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Baile Flamenco.jpg,"La creación del Museo se debe a la iniciativa de la bailaora sevillana Cristina Hoyos. Tras unas obras de remodelación sobre un edificio que data del siglo XVIII, el Museo se inaugura el 7 de abril de 2006. Se compone de un espacio divido en","cuatro plantas, cuyo sótano es también un elemento característico, y en donde se ha conservado el ambiente inicial del edificio.",{2F7E1F0B-EED3-49A5-8A21-75AD8F95BE35},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:22:46,Urbanismo
-5.999737,37.392623,5,Museo de Bellas Artes,"Plaza del Museo, 9",954786502,Mar-S b de 9- 20:30h Dom y festivos de 9-14:30h.Consultar festivos abiertos.,http://www.juntadeandalucia.es/cultura/museobellasartessevilla,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Bellas Artes.jpg,"Fue instituido en septiembre del año 1835 e inaugurado oficialmente en 1841. Se ubica en la llamada Plaza del Museo, que está presidida por una escultura dedicada a Bartolomé Esteban Murillo.","Es un museo fundamental para conocer tanto la pintura barroca sevillana, especialmente de Zurbarán, Murillo y Valdés Leal, como la pintura andaluza del siglo XIX.",{4BD18918-7E46-4C0F-B4E4-0B9F1808459A},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:02:19,Urbanismo
-5.996786,37.379431,6,Museo de Carruajes,"Antiguo Instituto Hispano-Cubano - Plaza de Cuba, s/n",954272604,"15 septiembre a 15 de junio: Lun-Vie no festivos: 9-14h / 16:30-19:30h.Stb, Dom y festivos cerrado",http://www.museodecarruajes.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Carruajes.jpg,"El Museo de Carruajes de Sevilla se encuentra situado en el antiguo Convento de Los Remedios, en el barrio sevillano del mismo nombre.",,{A853E20F-8E8C-46AC-A3BF-0B0EB9CCD0AE},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:26:40,Urbanismo
-5.996373,37.400236,7,"Museo de la Ciudad, Convento Sta. Clara, Torre D. Fadrique","C/ Santa Clara, 40",954379905,Iglesia: Slb 19.00h / Torre: Lun-Vie 11.00-17.30h,http://espaciosantaclara.org/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de la Ciudad Convento de Santa Clara.jpg,"Fue fundado en 1289 por el rey Fernando III de Castilla, y levantado junto a un antiguo palacio perteneciente a su hijo, el infante Fadrique de Castilla. El complejo conventual fue construido entre los siglos XVI y XVII.","Para ello se incrustó literalmente al palacio, una construcción mudéjar levantada tras la conquista cristiana de la ciudad, y de la que únicamente conserva la denominada Torre de don Fadrique, de factura románica y gótica.",{5F0D0FF1-F17D-44A3-AD0A-497375E787E8},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:25:31,Urbanismo
-5.992611,37.394413,8,Museo de la Congregación de Terciarias Franciscanas,"Hospital del Santísimo Cristo de los Dolores / Plaza del Pozon Santo, 1",954219430,"Mar, Jue, Slb y Dom de 12.00-13.30h", ,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de la Congregacion de Terciarias Franciscanas.jpg,"En 1946 se convirtió en Congregación religiosa de derecho diocesano. Su fundación se debe a dos extraordinarias mujeres: Marta de Jesús, cordobesa de Priego, y Beatriz Jerónima de la Concepción, sevillana, quienes, ya viudas, y después de ejercer su","labor caritativa en otros lugares, compraron en 1667 el solar para la construcción del Hospital del Santísimo Cristo de los Dolores en la plaza del Pozo Santo. Con este nombre se ha conocido en Sevilla este hospital para enfermas e impedidas.",{EABEEE07-E1C2-482C-BE85-057D0365A0A6},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:00:29,Urbanismo
-5.995907,37.384523,9,Museo de la Reales Atarazanas,"C/ Temprado, 1 esquina C/ Dos de Mayo",954901957, ,https://es.wikipedia.org/wiki/Atarazanas_Reales_de_Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo reales atarazanas.jpg,"Las Atarazanas Reales de Sevilla están situadas en las calles Temprado y Dos de Mayo, barrio del Arenal. Nacen como astilleros en el siglo XIII para la construcción de barcos, tipo galeras. Para su ubicación, se eligieron unos terrenos junto al río fuera",,{1534BDE0-BF32-4D9B-AA23-717157117D87},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:39:43,Urbanismo
-5.99002077199998,37.396310246,10,Museo de Muñecas y Juguetes Antiguos,"C/ Castellar, 43",954387555,"Lun-Vie: 10.30-14.00h;18.00-20.30h", ,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Muñecas y Juguetes Antiguos.jpg,"Está centralizado en el Pabellón Mudéjar, edificio historicista de estilo neomudéjar construido en 1914 sobre un proyecto realizado en 1913 que lo sitúa donde ahora se levanta, con motivo de la Exposición Iberoamericana de 1929 por el arquitecto Aníbal",,{2AD17E7F-5770-411A-B723-9609566FABEE},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:00:09,Urbanismo
-5.986618,37.378248,11,Museo Militar Regional,"Plaza de España, Puerta de Aragón, Parque de Maria Luisa",954938283,Mar-Vier 9:30-13:30h. S b 10:00-14:00h,http://www.ejercito.mde.es/unidades/Madrid/ihycm/Museos/sevilla.html,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Historico Militar.jpg,"Aunque gran parte de los fondos que en él se encuentran provienen de la Antigua Maestranza de Artillería de Sevilla a los que se añadieron con el tiempo piezas de la Pirotecnia Militar y otras originarias de diferentes unidades, centros y organismos de","la Región Militar Sur, su contenido es muy dispar, pudiéndose encontrar desde maquetas hasta despachos militares históricos que se encontraban en distintos puntos de la ciudad de Sevilla, así como micrófonos de radio.",{60B06FA1-184E-4E1E-AE0C-5AD88B3A39E5},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:27:33,Urbanismo
-5.99368069899998,37.392284083,12,Museo Palacio de la Condesa de Lebrija,"C/ Cuna, 8",954227802,(Septiembre a Junio) Lun-Vie 10.30-19:30h y SMb de 10:00-14:00h Dom de 10:00-14:00h / Lun-Vie de 9:00-15:00h S,http://www.palaciodelebrija.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Palacio de la Condesa de Lebrija.jpg,"El Palacio de Lebrija se convierte en una de las mejores casas de Sevilla, esta casa no sólo cuenta con mosaicos, sino que en sus salas se atesoran multitud de restos arqueológicos de incalculable valor: vasos, ánforas, columnas, vasijas y esculturas.","Además sus paredes se engalanan de elementos decorativos como sus arcos de traza árabe, sus adornos platerescos y su fachada y planta andaluza",{8B44F470-0FCF-45C1-B39F-E36813E16C7D},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:02:46,Urbanismo
-5.999038,37.385866,13,Museo Taurino y Pza. Toros Real Maestranza,"Paseo de Cristóbal Colón, 12",954224577,Nov-Abril: 9:30-19:00h / May-Oct: 9:30-20:00h todos los d1as,http://www.realmaestranza.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo taurino y plaza de toros de real maestranza.jpg,"La Plaza de Toros de la Real Maestranza de Caballería de Sevilla es el coso taurino más antiguo de España. Sede de las corridas de toros que se realizan en el marco de la Feria de Abril de Sevilla, uno de los festejos taurinos más reconocidos en el mundo",,{FFFA3354-9EC1-4E61-AB4A-37CA33997991},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:24:39,Urbanismo
-5.989589,37.402728,14,Tesoro de la Macarena,"C/ Becquer, 1",954901800,"Lun-Dom 9.30-13.00h;17.00-20.00h / Bas",http://www.hermandaddelamacarena.es/tesoro-de-la-macarena/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Tesoro de La Macarena.jpg,"El Tesoro de la Macarena es un espacio museístico singular, que ofrece un amplio patrimonio en concordancia con las necesidades de uso de las actividades corporativas. Es un centro dinámico, sujeto a las necesidades de cambios impuestas por los cultos.",,{E60CC3E1-1C8E-48F2-8EC0-80E1AB07FE3A},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:30:35,Urbanismo
-5.99644210499997,37.3973051410001,15,Museo Tesoro del Templo Gran Poder,"Plaza de San Lorenzo, 13",954915686,"Diario (excepto viernes): 8-13:30h;18-21h/ Vie: 7:30-22h",http://www.gran-poder.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Tesoro del Templo del Gran Poder.jpg,"Si bien inmemorialmente se viene manteniendo la creencia de que su fundación se remonta al año 1.431 por los Duques de Medina Sidonia en el Monasterio de Santo Domingo de Silos, tal vez la actual Parroquia de San Benito, en la Calzada de la Cruz del","Campo, no es sino hasta 1.477 cuando documentalmente consta la aprobación de sus primeras Reglas por el Provisor D. Pedro Fernández de Solís, Obispo de Cádiz, bajo el Título de Cofradía del Poder y Traspaso de Nuestra Señora",{E0960692-277C-4AA9-BF75-BE7E978F7A06},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:31:13,Urbanismo
-5.996317,37.382402,16,Torre del Oro / Museo Naval,"Paseo de Crist/bal ColNn, s/n",954222419,"Mar-Vie: 9.30-13.30h/SNb, Dom: 10.30-13.30h",http://www.armada.mde.es/ArmadaPortal/page/Portal/ArmadaEspannola/ciencia_museo/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Naval Torre del Oro.jpg,"Entre sus objetos se pueden observar restos marinos fosilizados, mecanismos de artes náuticas, brújulas, mascarones de proa, cuadros y grabados con temática marina, cartas marinas antiguas, documentos históricos... tanto en paredes como en suelos.","Como resumen destacan en la planta baja: un cañón del siglo XVI, de estilo renacentista; anclas, planos del río realizados en el siglo XIX, todo de autores anónimos; también hay lozas de la Cartuja realizadas en el siglo XIX y de estilo romántico",{7A2B500A-53FC-4A7D-9E39-7528F00D9674},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:41:11,Urbanismo
-6.00465467199996,37.38554177,17,Museo de la Cerámica de Triana,"C/ San Jorge, 31",955471422,"10 a 14 horas y de 17 a 20 horas. Cerrado: 1 y 6 de enero, Jueves y Viernes Santo y 25 de diciembre.",http://www.icas-sevilla.org/visita-el-centro-ceramica-triana/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo de la ceramica de triana.jpg,"La creación del centro Cerámica Triana es una de las actuaciones más ambiciosas del plan turístico, y su objetivo dentro de la estrategia del Plan Turístico, persigue representar la historia de la tradición alfarera en Triana, así como servir de centro n","Todos los elementos con significado arqueológico, antropológico y arquitectónico han sido mostrados insertos en su contexto original: los hornos han sido restaurados y puestos en valor, y se conservan los recorridos y las relaciones de las distintas prof",{1BB1009D-4B04-4EC1-9DD5-4D27C60A8053},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:23:30,Urbanismo
-6.00335380099995,37.385799644,18,Museo del castillo de San Jorge,"Plaza del Altozano, s/n",954332240,Martes-Sábado:10.00h -13.30 h /17.00h.- 19.30h. Domingo:10.00h.-13.30h,http://www.icas-sevilla.org/visita-el-centro-ceramica-triana/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo castillo de san jorge.jpg,"La importancia defensiva del Castillo fue disminuyendo con los siglos y en 1481 se convertiría en sede de la Inquisición Española, que lo abandonaría en 1626.Tras esto, fue cedido al Conde Duque de Olivares.",En 1639 volvería a ser de la Inquisición hasta su marcha definitiva en 1785. En el siglo XIX el Castillo fue demolido para crear un ensanche desde la Plaza del Altozano hasta la Calle Castilla.,{AD51D841-267C-4115-BDB0-96962AC734E4},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:38:13,Urbanismo
-5.99190881499993,37.393179591,19,Antiquarium,"Plaza de la Encarnación, s/n",955471580,Martes a sábado de 10h a 20h. Domingos y festivos de 10h a 14h.,http://antiquarium.icas-sevilla.org/antiquarium/el-espacio/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Antiquarium.jpg,"El Antiquarium es un museo arqueológico ubicado en el subsuelo de Metropol Parasol de la plaza de la Encarnación de la ciudad de Sevilla, en la comunidad autónoma de Andalucía.","Fue inaugurado el 27 de marzo de 2011, y se compone del yacimiento arqueológico más importante que de la etapa romana de Sevilla se conserva, que fue hallado tras una primera excavación en la plaza en los años 1990.",{C45CA27F-5FFE-4419-AFD6-37B74F0EF9D7},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:01:08,Urbanismo
-5.99106123699994,37.37057501,20,Acuario de Sevilla,Avda. Santiago Montoto s/n. Muelle de las Delicias,955441541,De lunes a jueves: De 10:00 a 19:00 y de viernes a domingo: De 10:00 a 21:00. Ver en Web horario verano.,http://www.acuariosevilla.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Acuario de Sevilla.JPG,"Una amplia variedad de especies y ecosistemas representan la biodiversidad de ríos, mares, junglas y océanos del planeta, a lo largo del recorrido. Los acuarios donde se alojan estas especies, están tematizados y ambientados simulando el hábitat de las","mismas, ofreciendo así al público visitante, mayor sensación de inmersión en la naturaleza.",{92467E33-584F-45C5-90FB-A70E6E88300D},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:28:01,Urbanismo
-5.99118193599998,37.3774406520001,21,Museo Casa de la Ciencia,"Avenida de Chile, 2",954232349,"Horario verano: Julio: de 10 a 21 h. Agosto: del 1 al 24 de 10h a 14h. / del 25 al 31 cerrado. Septiembre: del 1 al 8 cerrado. A partir del 9 de , horario habitual.",http://www.casadelaciencia.csic.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Casa de las Ciencias.jpg,El Museo Casa de la Ciencia de Sevilla es el único espacio de la capital andaluza que ofrece una programación dedicada a la divulgación del conocimiento científico y medioambiental.,"Cuenta con tres exposiciones permanentes: “La Mar de Cetáceos en Andalucía”, “Invertebrados de Andalucía”  y “GEO Sevilla. Explora 540 millones de años”.",{1E32221D-63D6-4E7D-8FCE-821FFF0E7ACD},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:55:11,Urbanismo
-6.0090588599999,37.3984993940001,22,Centro Andaluz de Arte Contemporáneo,"C/ Américo Vespucio, 2",955037070,"Lunes cerrado. Mart-Sáb: 11-21 h. Dom: 11-15h. Festivos consultar Precio: 1.80 € (monumento o exposiciones temporales); 3.01 € (visita completa). Gratis: Mart-vier: 19 a 21 y Sáb. 11-21h.",http://www.caac.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Centro Andaluz de Arte Contemporaneo.jpg,"Antes de pasar a ser terreno monástico, los almohades en el siglo XII le dieron uso ubicando en el lugar hornos alfareros de cocción aprovechando su situación junto al río.",,{4EECADA1-8756-46F1-87E0-8AE5E5E4DDEF},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:24:33,Urbanismo
-6.00783577199996,37.3942759720001,23,Pabellón de la Navegación,"Camino de los Descubrimientos, 2",954043111,"Invierno: martes a sábado 10 a 19:30, D y Fest. 10 a 15. Julio y Agosto de 10 a 15. Resto de 11 a 20:30. Lunes no festivo cerrado",http://www.pabellondelanavegacion.es/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Pabellon de la navegacion.jpg,"El museo consta de una primera sala, la de mayor extensión, en la que las luces y el sonido transportan al visitante al océano.En la segunda sala se presenta un mural de varios metros de largo diseñado y realizado por el pintor Gabriel Pacheco donde",se cuenta la historia de la navegación y los cambios realizados en los buques desde el siglo XVI hasta hoy.,{17B898B3-527D-4109-95DE-56790A75D8B8},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:01:54,Urbanismo
-5.98940930299995,37.383936555,24,,,,,,,,,{7B1E1A91-C2B3-4A3F-BDDB-D95C7C694A21},2018/04/10 10:23:32,ayuntamiento,2018/04/10 10:23:32,ayuntamiento
